Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
jul-12;11,8 €/m2;-0,30%;-0,80%;-4,80%
jun-12;11,9 €/m2;-0,50%;-0,90%;-4,00%
may-12;11,9 €/m2;0,00%;-0,70%;-3,80%
abr-12;11,9 €/m2;-0,40%;-0,90%;-3,90%
mar-12;12,0 €/m2;-0,30%;-1,40%;-3,60%
feb-12;12,0 €/m2;-0,20%;-1,80%;-3,20%
ene-12;12,0 €/m2;-0,90%;-1,90%;-5,10%
dic-11;12,1 €/m2;-0,80%;-1,40%;-3,80%
nov-11;12,2 €/m2;-0,30%;-0,50%;-4,30%
oct-11;12,3 €/m2;-0,40%;-1,30%;-3,30%
sep-11;12,3 €/m2;0,10%;-0,30%;-2,70%
ago-11;12,3 €/m2;-1,00%;-0,80%;-1,60%
jul-11;12,4 €/m2;0,60%;0,10%;0,10%
jun-11;12,4 €/m2;-0,40%;-0,50%;-1,00%
may-11;12,4 €/m2;0,00%;0,00%;-1,20%
abr-11;12,4 €/m2;-0,10%;-2,10%;-1,70%
mar-11;12,4 €/m2;0,10%;-1,60%;-2,30%
feb-11;12,4 €/m2;-2,10%;-3,00%;-1,90%
ene-11;12,7 €/m2;0,40%;-0,10%;-0,60%
dic-10;12,6 €/m2;-1,30%;-0,30%;-2,00%
nov-10;12,8 €/m2;0,80%;2,30%;-0,80%
oct-10;12,7 €/m2;0,30%;2,20%;-0,90%
sep-10;12,7 €/m2;1,30%;1,40%;-1,50%
ago-10;12,5 €/m2;0,70%;-0,40%;-2,80%
jul-10;12,4 €/m2;-0,50%;-1,70%;-4,30%
jun-10;12,5 €/m2;-0,60%;-1,80%;-2,80%
may-10;12,5 €/m2;-0,60%;-0,80%;-2,80%
abr-10;12,6 €/m2;-0,60%;-1,10%;-2,60%
mar-10;12,7 €/m2;0,40%;-1,40%;-2,30%
feb-10;12,6 €/m2;-0,80%;-1,80%;-2,80%
ene-10;12,8 €/m2;-0,90%;-0,30%;-3,40%
dic-09;12,9 €/m2;-0,10%;0,20%;-2,60%
nov-09;12,9 €/m2;0,70%;0,20%;-3,80%
oct-09;12,8 €/m2;-0,40%;-1,30%;-5,90%
sep-09;12,8 €/m2;0,00%;0,20%;-6,80%
ago-09;12,9 €/m2;-0,90%;-0,50%;-5,70%
jul-09;13,0 €/m2;1,10%;0,10%;-7,40%
jun-09;12,8 €/m2;-0,70%;-1,40%;-4,40%
may-09;12,9 €/m2;-0,30%;-0,70%;-0,70%
abr-09;13,0 €/m2;-0,40%;-1,90%;-2,20%
mar-09;13,0 €/m2;0,00%;-1,70%;-6,50%
feb-09;13,0 €/m2;-1,50%;-2,90%;-6,80%
ene-09;13,2 €/m2;-0,20%;-2,90%;1,20%
dic-08;13,2 €/m2;-1,30%;-4,00%;3,90%
nov-08;13,4 €/m2;-1,50%;-1,70%;0,00%
oct-08;13,6 €/m2;-1,30%;-2,90%;3,60%
sep-08;13,8 €/m2;1,00%;2,70%;-4,70%
ago-08;13,6 €/m2;-2,70%;4,90%;-3,30%
