Mes;Precio m2;Variación mensual;Variación trimestral;Variación anual
jul-07;n.d.;n.d.;n.d.;n.d.
jun-07;n.d.;n.d.;n.d.;n.d.
may-07;n.d.;n.d.;n.d.;n.d.
abr-07;n.d.;n.d.;n.d.;n.d.
mar-07;n.d.;n.d.;n.d.;n.d.
feb-07;n.d.;n.d.;n.d.;n.d.
ene-07;n.d.;n.d.;n.d.;n.d.
dic-06;n.d.;n.d.;n.d.;n.d.
nov-06;n.d.;n.d.;n.d.;n.d.
oct-06;n.d.;n.d.;n.d.;n.d.
sep-06;n.d.;n.d.;n.d.;n.d.
ago-06;n.d.;n.d.;n.d.;n.d.
jul-06;n.d.;n.d.;n.d.;n.d.
jun-06;n.d.;n.d.;n.d.;n.d.
may-06;n.d.;n.d.;n.d.;n.d.
abr-06;n.d.;n.d.;n.d.;n.d.
mar-06;n.d.;n.d.;n.d.;n.d.
feb-06;n.d.;n.d.;n.d.;n.d.
ene-06;n.d.;n.d.;n.d.;n.d.
